# time, 'deltacol', 'deltalat', 'deltalon', 'deltaped', 'x', 'y', 'z', 'q0', 'q1', 'q2', 'q3', 'u', 'v', 'w', 'p', 'q', 'r', 'wM1', 'wdotM1', 'wM2', 'wdotM2', 'wM3', 'wdotM3', 'wM4', 'wdotM4', 'deltacol_p', 'deltalat_p', 'deltalon_p', 'deltaped_p', reward, control reward
5.999999999999999084e-02,5.078492526353467156e+02,5.078492526353467156e+02,5.078492526353467156e+02,5.078492526353467156e+02,0.000000000000000000e+00,0.000000000000000000e+00,3.266851856009722610e-05,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.746122069816058442e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.772645882134471274e-01,-2.952590106871544329e-03,-2.772645882134471274e-01,-2.952590106871544329e-03,-2.772645882134471274e-01,-2.952590106871544329e-03,-2.772645882134471274e-01,-2.952590106871544329e-03,-2.810049824310218991e-01,-2.810049824310218991e-01,-2.810049824310218991e-01,-2.810049824310218991e-01,-1.778790588376155668e-03,-1.778790588376155668e-03
6.499999999999998834e-02,5.081477066664184576e+02,5.081477066664184576e+02,5.081477066664184576e+02,5.081477066664184576e+02,0.000000000000000000e+00,0.000000000000000000e+00,4.207693189517414112e-05,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.017917857565221240e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.787531260478006701e-01,-1.619488951062564297e-03,-2.787531260478006701e-01,-1.619488951062564297e-03,-2.787531260478006701e-01,-1.619488951062564297e-03,-2.787531260478006701e-01,-1.619488951062564297e-03,-2.790152888905436113e-01,-2.790152888905436113e-01,-2.790152888905436113e-01,-2.790152888905436113e-01,-2.059994789460395381e-03,-2.059994789460395381e-03
6.999999999999999278e-02,5.084350681622708521e+02,5.084350681622708521e+02,5.084350681622708521e+02,5.084350681622708521e+02,0.000000000000000000e+00,0.000000000000000000e+00,5.285258050213847980e-05,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.292656751780253188e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.794529434875127061e-01,-5.761367966486963255e-04,-2.794529434875127061e-01,-5.761367966486963255e-04,-2.794529434875127061e-01,-5.761367966486963255e-04,-2.794529434875127061e-01,-5.761367966486963255e-04,-2.770995455848609401e-01,-2.770995455848609401e-01,-2.770995455848609401e-01,-2.770995455848609401e-01,-2.345509332282391668e-03,-2.345509332282391668e-03
7.499999999999999722e-02,5.087128940872275393e+02,5.087128940872275393e+02,5.087128940872275393e+02,5.087128940872275393e+02,0.000000000000000000e+00,0.000000000000000000e+00,6.500520672836351821e-05,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.568430093636830946e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.795404828447427548e-01,2.270233643886232500e-04,-2.795404828447427548e-01,2.270233643886232500e-04,-2.795404828447427548e-01,2.270233643886232500e-04,-2.795404828447427548e-01,2.270233643886232500e-04,-2.752473727518164326e-01,-2.752473727518164326e-01,-2.752473727518164326e-01,-2.752473727518164326e-01,-2.633435300365194465e-03,-2.633435300365194465e-03
8.000000000000000167e-02,5.089826516409560782e+02,5.089826516409560782e+02,5.089826516409560782e+02,5.089826516409560782e+02,0.000000000000000000e+00,0.000000000000000000e+00,7.853614344943693482e-05,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.843767958562004594e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.791602038374355610e-01,8.359036883980319743e-04,-2.791602038374355610e-01,8.359036883980319743e-04,-2.791602038374355610e-01,8.359036883980319743e-04,-2.791602038374355610e-01,8.359036883980319743e-04,-2.734489890602928019e-01,-2.734489890602928019e-01,-2.734489890602928019e-01,-2.734489890602928019e-01,-2.922304102011441529e-03,-2.922304102011441529e-03
8.500000000000000611e-02,5.092456387965343652e+02,5.092456387965343652e+02,5.092456387965343652e+02,5.092456387965343652e+02,0.000000000000000000e+00,0.000000000000000000e+00,9.344029336344483738e-05,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.117555034256147550e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.784278011016014798e-01,1.290720398112510381e-03,-2.784278011016014798e-01,1.290720398112510381e-03,-2.784278011016014798e-01,1.290720398112510381e-03,-2.784278011016014798e-01,1.290720398112510381e-03,-2.716957413564375923e-01,-2.716957413564375923e-01,-2.716957413564375923e-01,-2.716957413564375923e-01,-3.210995327619592388e-03,-3.210995327619592388e-03
9.000000000000001055e-02,5.095029570718615446e+02,5.095029570718615446e+02,5.095029570718615446e+02,5.095029570718615446e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.097077137346413878e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.388957140627590903e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.774342691081160828e-01,1.625378434224833413e-03,-2.774342691081160828e-01,1.625378434224833413e-03,-2.774342691081160828e-01,1.625378434224833413e-03,-2.774342691081160828e-01,1.625378434224833413e-03,-2.699802861875897353e-01,-2.699802861875897353e-01,-2.699802861875897353e-01,-2.699802861875897353e-01,-3.498664854362232290e-03,-3.498664854362232290e-03
9.500000000000001499e-02,5.097555130144863256e+02,5.097555130144863256e+02,5.097555130144863256e+02,5.097555130144863256e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.273248625648371046e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.657359413022032157e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.762500759592012578e-01,1.867662192099217577e-03,-2.762500759592012578e-01,1.867662192099217577e-03,-2.762500759592012578e-01,1.867662192099217577e-03,-2.762500759592012578e-01,1.867662192099217577e-03,-2.682965799034244814e-01,-2.682965799034244814e-01,-2.682965799034244814e-01,-2.682965799034244814e-01,-3.784684275586869262e-03,-3.784684275586869262e-03
1.000000000000000194e-01,5.100040351904015665e+02,5.100040351904015665e+02,5.100040351904015665e+02,5.100040351904015665e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.462755641381541238e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.922315674635079574e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.749290560490998958e-01,2.039839369804230529e-03,-2.749290560490998958e-01,2.039839369804230529e-03,-2.749290560490998958e-01,2.039839369804230529e-03,-2.749290560490998958e-01,2.039839369804230529e-03,-2.666397653973229254e-01,-2.666397653973229254e-01,-2.666397653973229254e-01,-2.666397653973229254e-01,-4.068591238773233698e-03,-4.068591238773233698e-03
1.050000000000000239e-01,5.102490975795166150e+02,5.102490975795166150e+02,5.102490975795166150e+02,5.102490975795166150e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.665417471414798456e-04,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.183507868285252229e-03,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-2.735118336330583100e-01,2.159432932278493311e-03,-2.735118336330583100e-01,2.159432932278493311e-03,-2.735118336330583100e-01,2.159432932278493311e-03,-2.735118336330583100e-01,2.159432932278493311e-03,-2.650060161365559441e-01,-2.650060161365559441e-01,-2.650060161365559441e-01,-2.650060161365559441e-01,-4.350049615426732075e-03,-4.350049615426732075e-03
