# time, 'deltacol', 'deltalat', 'deltalon', 'deltaped', 'x', 'y', 'z', 'q0', 'q1', 'q2', 'q3', 'u', 'v', 'w', 'p', 'q', 'r', 'wM1', 'wdotM1', 'wM2', 'wdotM2', 'wM3', 'wdotM3', 'wM4', 'wdotM4', reward, control reward
5.999999999999999084e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
6.499999999999998834e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
6.999999999999999278e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
7.499999999999999722e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000611e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000001055e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000001499e-02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000194e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
1.050000000000000239e-01,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,5.229847140714691704e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,-1.801019061902054963e-01,-1.665334536937734811e-15,0.000000000000000000e+00,0.000000000000000000e+00
